iter,train_loss,valid_loss,test_loss
4690,0.0002,0.0009,0.0011
4700,0.0002,0.0007,0.0012
4710,0.0005,0.0011,0.0016
4720,0.0003,0.0008,0.0011
4730,0.0002,0.0009,0.0012
4740,0.0007,0.0014,0.0017
4750,0.0002,0.0008,0.0013
4760,0.0002,0.0008,0.0012
4770,0.0003,0.0009,0.0011
4780,0.0002,0.0009,0.0012
4790,0.0003,0.001,0.0014
4800,0.0001,0.0008,0.0011
4810,0.0001,0.0007,0.0011
4820,0.0006,0.0012,0.0017
4830,0.0002,0.0008,0.0011
4840,0.0004,0.0011,0.0015
4850,0.0004,0.0013,0.001
4860,0.0003,0.0008,0.0012
4870,0.0002,0.0008,0.0013
4880,0.0001,0.0007,0.0012
4890,0.0001,0.0007,0.0012
4900,0.0021,0.0023,0.0029
4910,0.0003,0.0009,0.0012
4920,0.0003,0.0012,0.0012
4930,0.0003,0.0008,0.0012
4940,0.0003,0.0011,0.0012
4950,0.0002,0.0008,0.0011
4960,0.0002,0.0007,0.0013
4970,0.0002,0.0008,0.0012
4980,0.0005,0.0011,0.0015
4990,0.0002,0.0008,0.0011
5000,0.0003,0.0009,0.0014
5010,0.0002,0.0008,0.0012
5020,0.0001,0.0007,0.0012
5030,0.0006,0.0012,0.0016
5040,0.0002,0.0007,0.0011
5050,0.0002,0.0009,0.0013
5060,0.0004,0.0011,0.0014
5070,0.0002,0.0007,0.0011
5080,0.0001,0.0007,0.0011
5090,0.0009,0.0014,0.0013
5100,0.0002,0.0009,0.001
5110,0.0001,0.0007,0.0012
5120,0.0003,0.0007,0.0014
5130,0.0002,0.0007,0.0011
5140,0.0002,0.0009,0.0012
5150,0.0002,0.0009,0.001
5160,0.0005,0.0012,0.0011
5170,0.0004,0.001,0.0011
5180,0.0002,0.0009,0.001
5190,0.0001,0.0007,0.0012
5200,0.0002,0.0007,0.0011
5210,0.0003,0.0007,0.0014
5220,0.001,0.0016,0.0017
5230,0.0008,0.0012,0.002
5240,0.0004,0.0012,0.0012
5250,0.0009,0.001,0.0016
5260,0.0005,0.0016,0.0009
5270,0.0008,0.0013,0.0018
5280,0.0004,0.0011,0.0016
5290,0.0002,0.0007,0.0016
5300,0.0001,0.0009,0.001
5310,0.0001,0.0008,0.0012
5320,0.0001,0.0007,0.0011
5330,0.0002,0.0008,0.001
5340,0.0002,0.0008,0.001
5350,0.0002,0.0008,0.0013
5360,0.0001,0.0007,0.0012
5370,0.0018,0.0024,0.0026
5380,0.0007,0.0016,0.0009
5390,0.0005,0.001,0.0021
5400,0.0013,0.0021,0.0012
5410,0.0018,0.0022,0.0032
5420,0.0011,0.0016,0.0024
5430,0.0011,0.0012,0.002
5440,0.0004,0.001,0.0013
5450,0.0002,0.0008,0.0016
5460,0.0002,0.0007,0.0013
5470,0.0001,0.0007,0.0012
5480,0.0001,0.0007,0.0012
5490,0.0001,0.0007,0.0011
5500,0.0001,0.0007,0.0011
5510,0.0001,0.0007,0.0011
5520,0.0001,0.0007,0.0011
5530,0.0001,0.0007,0.0012
5540,0.0003,0.0009,0.0013
5550,0.0004,0.0007,0.0013
5560,0.0002,0.0007,0.0012
5570,0.0001,0.0007,0.0012
5580,0.0001,0.0008,0.0011
5590,0.0001,0.0007,0.0011
5600,0.0001,0.0007,0.001
5610,0.0007,0.0012,0.0011
5620,0.0002,0.0007,0.0011
5630,0.0002,0.0009,0.0014
5640,0.0001,0.0007,0.001
5650,0.0003,0.0008,0.001
5660,0.0001,0.0007,0.0011
5670,0.0001,0.0007,0.0012
5680,0.0005,0.001,0.0011
5690,0.0003,0.0012,0.001
5700,0.0002,0.0008,0.0012
5710,0.0002,0.0007,0.0014
5720,0.0001,0.0009,0.001
5730,0.0001,0.0007,0.0011
5740,0.0009,0.0012,0.0013
5750,0.0005,0.001,0.0011
5760,0.0005,0.0008,0.0018
5770,0.0002,0.001,0.001
5780,0.0001,0.0007,0.0011
5790,0.0002,0.0008,0.0011
5800,0.0001,0.0008,0.0011
5810,0.0003,0.0008,0.0013
5820,0.001,0.0017,0.002
5830,0.0004,0.0012,0.0012
5840,0.0002,0.0007,0.0015
5850,0.0002,0.0008,0.001
5860,0.0001,0.0008,0.0012
5870,0.0002,0.0008,0.0013
5880,0.0001,0.0007,0.0011
5890,0.0008,0.0012,0.0011
5900,0.0008,0.0012,0.0011
5910,0.0011,0.0015,0.0026
5920,0.0004,0.0014,0.0012
5930,0.0001,0.0006,0.0013
5940,0.0004,0.0009,0.0012
5950,0.0003,0.0009,0.0012
5960,0.0002,0.0009,0.0013
5970,0.0003,0.0007,0.0011
5980,0.0002,0.0008,0.0012
5990,0.0002,0.0009,0.0012
